,name,ascend,sort,stat,code,fd,parent,freq,tb,sdt
232,债务权益比,TRUE,125,1,M004022Y,dde,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
172,流动负债率,FALSE,126,1,M004013Y,f37,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
175,长期负债比率,TRUE,127,1,M004012Y,f36,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
176,固定资产比例,TRUE,128,1,M004014Y,f38,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
233,资本固定化率LTM,TRUE,129,1,M004016L,f39,M004,Q,metrics.comm_idx_quant_his_a,2008/4/30
156,资本固定化率YTD,TRUE,130,1,M004016Y,f39,M004,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
21,股本,FALSE,131,1,M004001,tos,M004,D,metrics.comm_idx_price_his_a,2007/4/30
22,流通股本,FALSE,132,1,M004002,tfs,M004,D,metrics.comm_idx_price_his_a,2007/4/30
23,流通比例,FALSE,133,1,M004003,p.p20,M004,D,metrics.comm_idx_price_his_a,2007/4/30
90,总市值,TRUE,134,1,M004023,mktc,M004,D,metrics.comm_idx_price_his_a,2007/4/30
25,总市值对数值,TRUE,135,1,M004006,p.p23,M004,D,metrics.comm_idx_price_his_a,2007/4/30
89,流通市值,TRUE,136,1,M004021,tfc,M004,D,metrics.comm_idx_price_his_a,2007/4/30
24,流通市值对数值,TRUE,137,1,M004005,p.p22,M004,D,metrics.comm_idx_price_his_a,2007/4/30
26,总资产对数值,TRUE,138,1,M004007,p.p24,M004,D,metrics.comm_idx_price_his_a,2007/4/30
173,股权集中度,TRUE,139,1,M004008Y,p25,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
155,股权集中度_流通,TRUE,140,1,M004009Y,p26,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
150,机构持股比例,TRUE,141,1,M004019Y,p29,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
174,户均持股比例,TRUE,142,1,M004017Y,p27,M004,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
107,存货周转率LTM,TRUE,143,1,M005002L,ito,M005,Q,metrics.comm_idx_quant_his_a,2008/4/30
100,应收账款周转率LTM,TRUE,144,1,M005003L,rto,M005,Q,metrics.comm_idx_quant_his_a,2008/4/30
141,应付账款周转率LTM,TRUE,145,1,M005009L,pto,M005,Q,metrics.comm_idx_quant_his_a,2008/4/30
103,营运资本周转率LTM,TRUE,146,1,M005007L,f44,M005,Q,metrics.comm_idx_quant_his_a,2008/4/30
102,流动资产周转率LTM,TRUE,147,1,M005005L,f42,M005,Q,metrics.comm_idx_quant_his_a,2008/4/30
104,非流动资产周转率LTM,FALSE,148,1,M005008L,f45,M005,Q,metrics.comm_idx_quant_his_a,2008/4/30
101,总资产周转率LTM,FALSE,149,1,M005004L,f41,M005,Q,metrics.comm_idx_quant_his_a,2008/4/30
99,固定资产周转率LTM,FALSE,150,1,M005001L,f40,M005,Q,metrics.comm_idx_quant_his_a,2008/4/30
166,存货周转率YTD,TRUE,151,1,M005002Y,ito,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
158,应收账款周转率YTD,TRUE,152,1,M005003Y,rto,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
217,应付账款周转率YTD,TRUE,153,1,M005009Y,pto,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
162,营运资本周转率YTD,TRUE,154,1,M005007Y,f44,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
160,流动资产周转率YTD,TRUE,155,1,M005005Y,f42,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
163,非流动资产周转率YTD,FALSE,156,1,M005008Y,f45,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
159,总资产周转率YTD,FALSE,157,1,M005004Y,f41,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
157,固定资产周转率YTD,FALSE,158,1,M005001Y,f40,M005,Q,metrics.comm_idx_quant_ytd_his_a,2008/4/30
161,长期债务与营运资本比率YTD,TRUE,159,1,M005006Y,f43,M005,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
185,流动比率YTD,TRUE,160,1,M006001Y,cur,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
186,现金比率YTD,TRUE,161,1,M006002Y,csr,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
187,速动比率YTD,TRUE,162,1,M006003Y,qr,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
214,保守速动比率YTD,TRUE,163,1,M006004Y,f46,M006,Q,metrics.comm_idx_quant_ytd_his_a,2007/4/30
39,AR指标,TRUE,168,1,M008001,items.ar,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
41,AROON指标,TRUE,169,1,M008003,items.aroon,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
40,BR指标,TRUE,170,1,M008002,items.br,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
43,CMO钱德动量摆动指标,TRUE,171,1,M008005,items.cmo,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
42,CR能量指标,TRUE,172,1,M008004,items.cr,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
44,DMI动态动量指标,TRUE,173,1,M008006,items.dmi,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
45,IMI日内动量指标,TRUE,174,1,M008007,items.imi,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
47,MTM动量指标,TRUE,176,1,M008009,items.mtm,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
48,RMI相对动量指标,TRUE,177,1,M008010,items.rmi,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
49,SMI随机动量指标,TRUE,178,1,M008011,items.smi,M008,W,metrics.comm_idx_tech_his_a,2007/4/30
27,ACD收集派发指标,TRUE,179,1,M007001,items.acd,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
28,ASI累计振动升降指标,TRUE,180,1,M007002,items.asi,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
30,EMV简易波动指标,TRUE,182,1,M007004,items.emv,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
31,MACD平滑异同平均指标,TRUE,184,1,M007005,items.macd,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
33,TEMA三重指数移动平均,TRUE,185,1,M007007,items.tema,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
35,TMA三角移动平均线,TRUE,186,1,M007009,items.tma,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
34,TS趋势分数,TRUE,188,1,M007008,items.ts,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
37,VHF垂直水平过滤指标,TRUE,189,1,M007011,items.vhf,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
38,VMACD量指数平滑异同移动平均线,TRUE,190,1,M007012,items.vmacd,M007,W,metrics.comm_idx_tech_his_a,2007/4/30
79,CVI蔡金波动率指标,TRUE,192,1,M011002,items.cvi,M011,W,metrics.comm_idx_tech_his_a,2007/4/30
80,QST指标,TRUE,193,1,M011003,items.qst,M011,W,metrics.comm_idx_tech_his_a,2007/4/30
81,RI区域指标,TRUE,194,1,M011004,items.ri,M011,W,metrics.comm_idx_tech_his_a,2007/4/30
82,RVI相对波动率指标,TRUE,195,1,M011005,items.rvi,M011,W,metrics.comm_idx_tech_his_a,2007/4/30
83,TR真实波动范围,TRUE,196,1,M011006,items.tr,M011,W,metrics.comm_idx_tech_his_a,2007/4/30
84,UI优瑟指数,FALSE,197,1,M011007,items.ui,M011,W,metrics.comm_idx_tech_his_a,2007/4/30
85,VIDYA钱得动量摆动平均指数,TRUE,198,1,M011008,items.vidya,M011,W,metrics.comm_idx_tech_his_a,2007/4/30
66,CMF蔡金货币流量指标,TRUE,200,1,M010002,items.cmf,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
67,KVO克林格成交量摆动指标,FALSE,201,1,M010003,items.kvo,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
68,NVI负量指标,FALSE,202,1,M010004,items.nvi,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
69,OBV能量潮,TRUE,203,1,M010005,items.obv,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
70,PVI正量指标,TRUE,204,1,M010006,items.pvi,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
71,PVT价量趋势指标,TRUE,205,1,M010007,items.pvt,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
72,VAMA成交量加权移动平均,TRUE,206,1,M010008,items.vama,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
74,VOSC移动平均成交量指标,TRUE,208,1,M010010,items.vosc,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
75,VR成交量比率指标,TRUE,209,1,M010011,items.vr,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
76,VROC成交量变动速率指标,FALSE,210,1,M010012,items.vroc,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
77,VRSI成交量相对强弱指标,TRUE,211,1,M010013,items.vrsi,M010,W,metrics.comm_idx_tech_his_a,2007/4/30
52,CCI商品通道指标,TRUE,214,1,M009003,items.cci,M009,W,metrics.comm_idx_tech_his_a,2007/4/30
55,DDI方向标准离差指标,TRUE,217,1,M009006,items.ddi,M009,W,metrics.comm_idx_tech_his_a,2007/4/30
56,MFI货币流量指标,TRUE,218,1,M009007,items.mfi,M009,W,metrics.comm_idx_tech_his_a,2007/4/30
57,RSI相对强弱指标,TRUE,219,1,M009008,items.rsi,M009,W,metrics.comm_idx_tech_his_a,2007/4/30
59,SRSI随机相对强弱指标,TRUE,221,1,M009010,items.srsi,M009,W,metrics.comm_idx_tech_his_a,2007/4/30
60,SWI摆动指标,TRUE,222,1,M009011,items.swi,M009,W,metrics.comm_idx_tech_his_a,2007/4/30
61,TSI真实强度指数,TRUE,223,1,M009012,items.tsi,M009,W,metrics.comm_idx_tech_his_a,2007/4/30
62,UOS终极振荡指标,TRUE,224,1,M009013,items.uos,M009,W,metrics.comm_idx_tech_his_a,2007/4/30
